2021-05-19 19:00:12,348 | 5144 | [Driver_atx.py-->line:114] | INFO : ('text', '系统设置')元素没有定位到
2021-05-19 19:00:19,103 | 5144 | [Driver_atx.py-->line:114] | INFO : ('text', '设置')元素没有定位到
2021-05-19 19:00:20,928 | 5144 | [Driver_atx.py-->line:114] | INFO : ('text', '系统设置')元素没有定位到
2021-05-19 19:00:38,046 | 264 | [Driver_atx.py-->line:114] | INFO : ('text', '系统设置')元素没有定位到
2021-05-19 19:01:07,542 | 264 | [Driver_atx.py-->line:77] | INFO : 正在保存当前截图
2021-05-19 19:01:09,106 | 264 | [Driver_atx.py-->line:114] | INFO : ('text', '系统设置')元素没有定位到
2021-05-19 19:01:14,875 | 264 | [Driver_atx.py-->line:114] | INFO : ('text', '设置')元素没有定位到
2021-05-19 19:01:16,126 | 264 | [Driver_atx.py-->line:114] | INFO : ('text', '系统设置')元素没有定位到
2021-05-19 19:06:41,007 | 16180 | [Driver_atx.py-->line:114] | INFO : ('text', '系统设置')元素没有定位到
2021-05-19 19:07:02,104 | 16180 | [Driver_atx.py-->line:114] | INFO : ('text', '设置')元素没有定位到
2021-05-19 19:07:03,715 | 16180 | [Driver_atx.py-->line:114] | INFO : ('text', '系统设置')元素没有定位到
2021-05-19 19:07:26,668 | 10244 | [Driver_atx.py-->line:114] | INFO : ('text', '系统设置')元素没有定位到
2021-05-19 19:08:00,441 | 10244 | [Driver_atx.py-->line:77] | INFO : 正在保存当前截图
2021-05-19 19:09:12,824 | 15740 | [Driver_atx.py-->line:114] | INFO : ('text', '系统设置')元素没有定位到
2021-05-19 19:10:17,152 | 15740 | [Driver_atx.py-->line:77] | INFO : 正在保存当前截图
2021-05-19 19:29:19,618 | 17532 | [Driver_atx.py-->line:113] | INFO : ('text', '系统设置')元素没有定位到
2021-05-19 19:41:46,964 | 15560 | [Driver_atx.py-->line:113] | INFO : ('text', '系统设置')元素没有定位到
